,Unnamed: 0,heading,website,code,status
193,3,DCI Deutsche Capital Immobilien GmbH,http://www.dcimmo.de,200.0,OK
194,4,DDS Conferencing & Catering GmbH -Firstchoice Business Center-,https://www.firstchoicebc.de/,403.0,OK
195,5,DUGEL IMMOBILIENPARTNER Knut Dugel,http://www.dugel-immobilien.de,200.0,OK
196,6,Endemann Gewerbeimmobilien Inhaber Konstanze Endemann,http://www.endemann-immobilien.de,200.0,OK
197,7,Fabregat Immobilien und Management GmbH,http://www.fabregat-immobilien.de,404.0,Not Found
198,8,FAKT. AG,http://www.fakt-ag.de,200.0,OK
199,9,FAKT Financial Services AG,http://www.fakt-ag.de,200.0,OK
200,0,FAKT Immobilien AG,http://www.fakt-ag.de,200.0,OK
201,1,Fortuna Immobilien VersicherungenFinanzen,http://www.immobilien-fortuna.de,200.0,OK
202,2,Gewerbepark Ernestine Projektgesellschaft mbH,http://www.weinkellerei-hammacher.de/,200.0,OK
203,3,GFI-Süd GmbH,http://www.gfi-sued.de,200.0,OK
204,4,Global-Property-Solutions Ltd.,http://www.bankenverwertung-spanien.de,404.0,Not Found
205,5,Global-Property-Solutions Ltd.,http://www.bankenverwertung-spanien.de,404.0,Not Found
206,6,Glück Auf Immobilien GmbH,http://www.glueck-auf-immobilienprojekte.de,200.0,OK
207,7,Gritzo Christiane Imobilienbüro,http://www.immobilienbuero-essen.de,200.0,OK
208,8,Gröll-Dinu Frank,http://www.groell-dinu.de,200.0,OK
209,9,Großmann Immobilien-Consult GmbH,http://www.andersen-haus.de,200.0,OK
210,0,Großmann Immobilien-Consult GmbH,http://www.andersen-haus.de,200.0,OK
211,1,Großmann Immobilien-Consult GmbH,http://www.andersen-haus.de,200.0,OK
212,2,Großmann Immobilien-Consult GmbH,http://www.andersen-haus.de,200.0,OK
213,3,Grünstäudl & Partner Immobilien Dirk Grünstäudl,http://www.gup.immobilien,200.0,OK
214,4,Gub Immobilien und - Versicherungsfachmann BWV,http://www.gub-immobilien.info,404.0,Not Found
215,5,GUYENZ Immobilien Inhaberin Corinna Guyenz,http://www.guyenz-immobilien.de,200.0,OK
216,6,GUYENZ Immobilien Inhaberin Corinna Guyenz,http://www.guyenz-immobilien.de,200.0,OK
217,7,GWS Immobilien GmbH Agentur für Immobilien,http://www.deutsche-wohnen.com/html/gsw.php,404.0,OK
